,Spain,France,Italy,Germany,Austria,Hungary,United Kingdom
2020-03-24,36091,19061,60850,29743,5274,166,14904
2020-03-25,44148,21333,65024,33776,5579,205,17597
2020-03-26,50771,24207,70228,38265,6797,233,20681
2020-03-27,56362,27264,75548,44213,7432,266,23882
2020-03-28,60950,31875,80088,49214,8046,309,26704
2020-03-29,65401,32972,84659,52884,8309,374,29561
2020-03-30,71176,36623,87119,53385,8982,413,33834
2020-03-31,76664,42684,90063,55708,9085,455,38349
2020-04-01,81471,46055,93727,59172,9275,485,43263
2020-04-02,85322,46677,96964,62354,9380,543,48128
2020-04-03,88686,50330,100069,66584,9502,580,53043
2020-04-04,91949,53167,103636,69692,9274,620,57063
2020-04-05,93566,54295,107133,71423,9053,667,60657
2020-04-06,96238,57140,109710,74674,8834,677,65932
2020-04-07,98734,58830,111194,71582,8593,746,71382
2020-04-08,100199,60794,112931,66996,8430,801,76511
2020-04-09,101057,63128,115156,65774,8004,884,81363
2020-04-10,102605,65744,117122,68258,7491,1078,85469
2020-04-11,103918,67399,119737,67508,7202,1195,89046
2020-04-12,104440,93447,122152,67554,6958,1292,92541
2020-04-13,105372,96580,124081,65772,6698,1338,97068
2020-04-14,105037,100745,125358,63159,6593,1390,101393
2020-04-15,106791,102033,127063,62153,6238,1387,106458
2020-04-16,110151,112647,128777,60698,5490,1453,111756
2020-04-17,116042,113089,129707,58283,4891,1556,116721
2020-04-18,116929,111527,130998,57942,4457,1603,121437
2020-04-19,121317,115835,131917,57184,4248,1666,125289
2020-04-20,119623,117406,132351,55565,4164,1717,130147
2020-04-21,121664,118378,132357,53091,3902,1811,134907
2020-04-22,122474,114727,132784,51248,3597,1873,140397
2020-04-23,123774,115612,132397,49829,3308,1894,145540
2020-04-24,110635,115921,132496,45199,3199,1985,150513
2020-04-25,110197,116476,132231,46713,3045,1985,154261
2020-04-26,109262,116722,132747,45770,2943,2015,157729
2020-04-27,108590,119856,132790,44258,2912,2085,162431
2020-04-28,108225,121608,132564,42512,2777,2133,167152
2020-04-29,103970,117755,132339,41139,2623,2191,172587
2020-04-30,101385,117192,129518,39509,2545,2194,177543
2020-05-01,103166,116464,129179,37177,2421,2254,182270
2020-05-02,99334,117225,129414,35967,2378,2317,185491
2020-05-03,98564,117299,129063,35064,2369,2369,188465
2020-05-04,96668,117448,129059,33452,2305,2405,191843
2020-05-05,95843,117132,127782,31907,2188,2356,195527
2020-05-06,94323,119443,121212,28262,2045,2352,199358
2020-05-07,92936,118964,119582,27730,2054,2349,203125
2020-05-08,91709,119548,118162,28888,1938,2313,206174
2020-05-09,89626,119872,115237,28024,1905,2309,208324
2020-05-10,88184,119965,113884,27479,1880,2330,210645
2020-05-11,90297,119910,113227,26959,1821,2326,214228
2020-05-12,89050,119590,112177,25971,1813,2306,217617
2020-05-13,87868,118613,109563,25398,1693,2239,220915
2020-05-14,86166,118412,107808,24178,1653,2211,223524
2020-05-15,85400,118176,103680,23636,1638,2130,226041
2020-05-16,84252,118065,101950,23152,1677,2102,228106
2020-05-17,84252,117333,100259,22358,1679,2113,229932
2020-05-18,81230,117138,98560,21510,1655,2135,232506
2020-05-19,81661,117182,97298,22097,1643,2144,235547
2020-05-20,82179,117356,95082,21507,1471,2144,238253
2020-05-21,82661,117090,93446,20934,1453,2132,240795
2020-05-22,84448,117088,91938,20646,1431,2091,242825
2020-05-23,84914,117071,90487,20270,1449,2058,244332
2020-05-24,85396,116898,89379,20047,1440,2051,245680
2020-05-25,85024,116624,88177,19401,1401,2045,247287
2020-05-26,85883,115665,85897,19233,1375,1935,248937
2020-05-27,85883,115541,84038,18704,1363,1937,250739
2020-05-28,87530,118211,81128,18836,1342,1820,252473
2020-05-29,88188,118217,79404,18677,1308,1817,253977
2020-05-30,88852,119565,77031,18281,1165,1725,255076
2020-05-31,89103,119728,75490,18058,1138,1729,256145
2020-06-01,89262,119832,74842,17962,1137,1736,257579
2020-06-02,89556,118627,73423,17270,1130,1761,259046
2020-06-03,89950,118409,72898,16668,1099,1741,260388
2020-06-04,90284,118608,72118,16563,1088,1749,261622
2020-06-05,90602,118663,70750,16444,1101,1725,262727
2020-06-06,90934,118917,69723,16492,1109,1711,263518
2020-06-07,91174,119209,69161,16526,1109,1729,264235
2020-06-08,91341,119271,68694,16553,1129,1730,265321
2020-06-09,91590,119189,66915,16377,1104,1693,266474
2020-06-10,91904,119290,65824,15892,1095,1672,267656
2020-06-11,92331,119336,64804,15730,1085,1648,268657
2020-06-12,92833,119666,63220,15691,1079,1606,269710
2020-06-13,93229,119854,61786,15297,1066,1588,270597
2020-06-14,93552,120108,60619,15429,1050,1587,271404
2020-06-15,93733,120277,60280,14990,1069,1591,272430
2020-06-16,93952,120280,58974,15410,1100,1561,273507
2020-06-17,94307,120311,58373,15005,1104,1531,274504
2020-06-18,94892,120413,57615,15970,1122,1515,275524
2020-06-19,95199,120808,56104,16327,1130,1500,276504
2020-06-20,95562,121099,55822,16061,1148,1501,277170
2020-06-21,95896,121084,55606,16532,1144,1505,277792
2020-06-22,96128,121333,55294,16625,1139,1512,278684
2020-06-23,96376,121500,54248,16655,1147,1507,279566
2020-06-24,96710,121127,53299,16449,1167,1496,280340
2020-06-25,97110,120688,52981,16607,1157,1483,281037
2020-06-26,97529,121796,52346,16887,1174,1464,281675
2020-06-27,98093,121697,51552,16940,1209,1457,282308
2020-06-28,98394,120974,51419,17036,1253,1457,282703
2020-06-29,98594,122514,51240,17272,1303,1460,283307
2020-06-30,98895,122659,50330,17318,1288,1463,283710
2020-07-01,99283,123106,50043,16793,1382,1443,283770
2020-07-02,99727,123404,49878,16570,1427,1445,283774
2020-07-03,100169,123723,49717,16480,1492,1420,284276
2020-07-04,100169,123454,49475,16198,1558,1390,284900
2020-07-05,100169,123443,49503,15804,1665,1372,285416
2020-07-06,101413,124515,49578,15904,1718,1329,285768
2020-07-07,101754,124726,49141,15682,1735,1331,286349
2020-07-08,102137,124663,48509,15546,1792,1325,286979
2020-07-09,102680,125556,48385,15273,1857,1333,287621
2020-07-10,103532,126054,48366,15304,1901,1282,288133
2020-07-11,103532,125999,48248,15443,1919,1255,288953
2020-07-12,103532,125983,48133,15505,1945,1198,289603
2020-07-13,105577,127391,48124,15080,1948,1174,290133
2020-07-14,106243,127591,47903,15356,1948,1152,291373
